보험가입연도,계약자_업종,계약자_소재지,계약자_기업규모,계약자_업력,취급종류,보험금액
2011,C29294,경북,중소기업, 10 ,매출채권보험,3000000 
2011,C26299,서울,중소기업, 1 ,매출채권보험,2000000 
2011,C33999,부산,중소기업, 7 ,어음보험,2000000 
2011,G46599,서울,중소기업, 11 ,매출채권보험,1000000 
2011,G46599,서울,중소기업, 11 ,매출채권보험,1000000 
2011,G46599,서울,중소기업, 11 ,매출채권보험,1000000 
2011,C14300,서울,중소기업, 7 ,어음보험,21000000 
2011,G46413,서울,중소기업, 10 ,어음보험,14000000 
2011,G46413,서울,중소기업, 10 ,어음보험,72000000 
2011,C29271,경북,중소기업, 9 ,매출채권보험,10000000 
2011,C29271,경북,중소기업, 9 ,매출채권보험,10000000 
2011,C29271,경북,중소기업, 9 ,매출채권보험,5000000 
2011,G46102,부산,중소기업, 14 ,어음보험,14000000 
2011,G46741,서울,중소기업, 2 ,어음보험,10000000 
2011,C31114,경남,중소기업, 3 ,어음보험,16000000 
2011,H52991,전남,중소기업, 2 ,매출채권보험,23000000 
2011,C30399,경남,중소기업, 3 ,어음보험,6000000 
2011,C13401,경기,중소기업, 13 ,매출채권보험,15000000 
2011,C13401,경기,중소기업, 13 ,매출채권보험,4000000 
2011,G46592,광주,중소기업, 9 ,매출채권보험,10000000 
2011,C13310,서울,중소기업, 9 ,매출채권보험,10000000 
2011,C13310,서울,중소기업, 9 ,매출채권보험,4000000 
2011,C26299,인천,중소기업, 8 ,매출채권보험,342000000 
2011,G46599,경북,중소기업, 7 ,매출채권보험,8000000 
2011,G46599,경북,중소기업, 7 ,매출채권보험,8000000 
2011,G46599,경북,중소기업, 7 ,매출채권보험,6000000 
2011,G46599,경북,중소기업, 7 ,매출채권보험,10000000 
2011,C22250,경기,중소기업, 4 ,매출채권보험,3000000 
2011,C22250,경기,중소기업, 4 ,매출채권보험,3000000 
2011,G46591,경기,중소기업, 3 ,매출채권보험,3000000 
2011,G46591,경기,중소기업, 3 ,매출채권보험,4000000 
2011,G46591,경기,중소기업, 3 ,매출채권보험,2000000 
2011,C25923,인천,중소기업, 14 ,어음보험,3000000 
2011,C25923,인천,중소기업, 14 ,어음보험,5000000 
2011,G46699,서울,중소기업, 7 ,매출채권보험,722000000 
2011,C26299,경기,중소기업, 10 ,매출채권보험,41000000 
2011,C30310,경기,중소기업, 4 ,매출채권보험,19000000 
2011,C17210,경기,중소기업, 18 ,어음보험,15000000 
2011,G46432,서울,중소기업, 14 ,어음보험,20000000 
2011,G46721,서울,중소기업, 19 ,어음보험,4000000 
2011,G46721,서울,중소기업, 19 ,어음보험,2000000 
2011,G46721,경남,중소기업, 10 ,매출채권보험,32000000 
2011,G46721,경남,중소기업, 10 ,매출채권보험,400000000 
2011,G46721,경남,중소기업, 10 ,매출채권보험,98000000 
2011,G46721,경남,중소기업, 6 ,어음보험,37000000 
2011,G46721,경남,중소기업, 6 ,어음보험,20000000 
2011,G46721,경기,중소기업, 4 ,매출채권보험,319000000 
2011,C25113,경기,중소기업, 1 ,매출채권보험,1000000 
2011,C31114,경남,중소기업, 2 ,매출채권보험,31000000 
2011,C25929,인천,중소기업, 1 ,매출채권보험,157000000 
2011,H50122,경남,중소기업, 6 ,매출채권보험,20000000 
2011,G46699,서울,중소기업, 24 ,어음보험,13000000 
2011,C25924,부산,중소기업, 24 ,매출채권보험,1000000 
2011,G46521,경기,중소기업, 5 ,어음보험,19000000 
2011,C13211,대구,중소기업, 16 ,어음보험,29000000 
2011,G46799,서울,중소기업, 7 ,매출채권보험,10000000 
2011,G46441,경기,중소기업, 6 ,매출채권보험,491000000 
2011,G46441,경기,중소기업, 6 ,매출채권보험,600000000 
2011,G46522,충남,중소기업, 10 ,매출채권보험,85000000 
2011,G46522,충남,중소기업, 10 ,매출채권보험,181000000 
2011,G46522,충남,중소기업, 10 ,매출채권보험,171000000 
2011,C25112,서울,중소기업, 4 ,매출채권보험,4000000 
2011,C25924,경기,중소기업, 34 ,매출채권보험,52000000 
2011,C29299,경기,중소기업, 3 ,어음보험,11000000 
2011,G46621,서울,중소기업, 4 ,매출채권보험,20000000 
2011,G46621,서울,중소기업, 4 ,매출채권보험,2000000 
2011,G46522,서울,중소기업, 3 ,매출채권보험,11000000 
2011,G46522,서울,중소기업, 3 ,매출채권보험,10000000 
2011,G46413,경기,중소기업, 2 ,매출채권보험,18000000 
2011,G46413,경기,중소기업, 2 ,매출채권보험,18000000 
2011,G46413,경기,중소기업, 2 ,매출채권보험,9000000 
2011,G46413,경기,중소기업, 2 ,매출채권보험,9000000 
2011,H52941,대구,중소기업, 3 ,매출채권보험,11000000 
2011,C14499,서울,중소기업, 2 ,어음보험,10000000 
2011,C24290,부산,중소기업, 15 ,매출채권보험,1000000 
2011,G45219,충북,중소기업, 14 ,어음보험,7000000 
2011,G46599,대구,중소기업, 14 ,매출채권보험,3000000 
2011,G46599,대구,중소기업, 14 ,매출채권보험,3000000 
2011,C24199,충북,중소기업, 12 ,어음보험,11000000 
2011,C18121,인천,중소기업, 11 ,어음보험,5000000 
2011,C18121,인천,중소기업, 11 ,어음보험,6000000 
2011,C18121,인천,중소기업, 11 ,어음보험,1000000 
2011,G46721,대구,중소기업, 13 ,매출채권보험,1000000 
2011,G46539,서울,중소기업, 8 ,어음보험,5000000 
2011,G46510,서울,중소기업, 8 ,매출채권보험,314000000 
